# p00 p10 p01 p11 rho0
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.14236671 0.00000305 0.85399252 0.00363772 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.17413464 0.00000020 0.82200117 0.00386399 0.00000000
0.18986668 0.00010147 0.80621995 0.00381190 0.00000000
0.18986668 0.00010147 0.80621995 0.00381190 0.00000000
0.18986668 0.00010147 0.80621995 0.00381190 0.00000000
0.18986668 0.00010147 0.80621995 0.00381190 0.00000000
0.18986668 0.00010147 0.80621995 0.00381190 0.00000000
0.18986668 0.00010147 0.80621995 0.00381190 0.00000000
0.18986668 0.00010147 0.80621995 0.00381190 0.00000000
0.25301237 0.00028038 0.74171093 0.00499631 0.00000000
0.26566931 0.00000000 0.72961315 0.00471754 0.00000000
0.32307399 0.00001214 0.66961287 0.00730100 0.00000000
0.32307399 0.00001214 0.66961287 0.00730100 0.00000000
0.32307399 0.00001214 0.66961287 0.00730100 0.00000000
0.32307399 0.00001214 0.66961287 0.00730100 0.00000000
0.32307399 0.00001214 0.66961287 0.00730100 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.35855754 0.00000579 0.63556054 0.00587612 0.00000000
0.36464314 0.00000257 0.62956491 0.00578938 0.00000000
0.38404178 0.00011496 0.61120210 0.00464116 0.00000000
0.42523940 0.00000262 0.56784881 0.00690916 0.00000000
0.42523940 0.00000262 0.56784881 0.00690916 0.00000000
0.42523940 0.00000262 0.56784881 0.00690916 0.00000000
0.42462492 0.00001009 0.57109329 0.00427170 0.00000000
0.42462492 0.00001009 0.57109329 0.00427170 0.00000000
0.42462492 0.00001009 0.57109329 0.00427170 0.00000000
0.42462492 0.00001009 0.57109329 0.00427170 0.00000000
0.42462492 0.00001009 0.57109329 0.00427170 0.00000000
0.42462492 0.00001009 0.57109329 0.00427170 0.00000000
0.42462492 0.00001009 0.57109329 0.00427170 0.00000000
0.42462492 0.00001009 0.57109329 0.00427170 0.00000000
0.42462492 0.00001009 0.57109329 0.00427170 0.00000000
0.42462492 0.00001009 0.57109329 0.00427170 0.00000000
0.44033823 0.00000691 0.55480172 0.00485314 0.00000000
0.44033823 0.00000691 0.55480172 0.00485314 0.00000000
0.44033823 0.00000691 0.55480172 0.00485314 0.00000000
0.44033823 0.00000691 0.55480172 0.00485314 0.00000000
0.44033823 0.00000691 0.55480172 0.00485314 0.00000000
0.44033823 0.00000691 0.55480172 0.00485314 0.00000000
0.44033823 0.00000691 0.55480172 0.00485314 0.00000000
0.44033823 0.00000691 0.55480172 0.00485314 0.00000000
0.44033823 0.00000691 0.55480172 0.00485314 0.00000000
0.44033823 0.00000691 0.55480172 0.00485314 0.00000000
0.44033823 0.00000691 0.55480172 0.00485314 0.00000000
0.47019127 0.00034617 0.52367265 0.00578991 0.00000000
0.54406067 0.00087241 0.45166886 0.00339805 0.00000000
0.54406067 0.00087241 0.45166886 0.00339805 0.00000000
0.54406067 0.00087241 0.45166886 0.00339805 0.00000000
0.54406067 0.00087241 0.45166886 0.00339805 0.00000000
0.55176494 0.00123001 0.44333113 0.00367391 0.00000000
0.60489211 0.00025686 0.38870285 0.00614818 0.00000000
0.62250364 0.00010325 0.36976920 0.00762391 0.00000000
0.62250364 0.00010325 0.36976920 0.00762391 0.00000000
0.62250364 0.00010325 0.36976920 0.00762391 0.00000000
0.64671566 0.00000069 0.34828693 0.00499671 0.00000000
0.65774115 0.00007623 0.33560546 0.00657716 0.00000000
0.65774115 0.00007623 0.33560546 0.00657716 0.00000000
0.65774115 0.00007623 0.33560546 0.00657716 0.00000000
0.65774115 0.00007623 0.33560546 0.00657716 0.00000000
0.65774115 0.00007623 0.33560546 0.00657716 0.00000000
0.65774115 0.00007623 0.33560546 0.00657716 0.00000000
0.65774115 0.00007623 0.33560546 0.00657716 0.00000000
0.72187348 0.00000065 0.27081985 0.00730601 0.00000000
