# p00 p10 p01 p11 rho0
0.57974195 0.00014247 0.40414267 0.01597292 0.00000000
0.57974195 0.00014247 0.40414267 0.01597292 0.00000000
0.61968009 0.00122234 0.36991789 0.00917968 0.00000000
0.61968009 0.00122234 0.36991789 0.00917968 0.00000000
0.66945557 0.00037293 0.31658226 0.01358924 0.00000000
0.66945557 0.00037293 0.31658226 0.01358924 0.00000000
0.66945557 0.00037293 0.31658226 0.01358924 0.00000000
0.70370234 0.00000000 0.28850089 0.00779678 0.00000000
0.70370234 0.00000000 0.28850089 0.00779678 0.00000000
0.70370234 0.00000000 0.28850089 0.00779678 0.00000000
0.70370234 0.00000000 0.28850089 0.00779678 0.00000000
0.71154472 0.00041344 0.27964368 0.00839817 0.00000000
0.71154472 0.00041344 0.27964368 0.00839817 0.00000000
0.74533440 0.00004935 0.24899314 0.00562312 0.00000000
0.78602476 0.00493402 0.18922131 0.01981991 0.00000000
0.78602476 0.00493402 0.18922131 0.01981991 0.00000000
0.82709381 0.00269326 0.14280555 0.02740738 0.00000000
0.82709381 0.00269326 0.14280555 0.02740738 0.00000000
0.82709381 0.00269326 0.14280555 0.02740738 0.00000000
0.85540655 0.00055044 0.13932499 0.00471802 0.00000000
0.88630827 0.00717942 0.10233947 0.00417285 0.00000000
0.88630827 0.00717942 0.10233947 0.00417285 0.00000000
0.91949482 0.00016777 0.07852367 0.00181374 0.00000000
0.96542791 0.00072949 0.03088183 0.00296077 0.00000000
0.96542791 0.00072949 0.03088183 0.00296077 0.00000000
0.96542791 0.00072949 0.03088183 0.00296077 0.00000000
0.96542791 0.00072949 0.03088183 0.00296077 0.00000000
0.96542791 0.00072949 0.03088183 0.00296077 0.00000000
0.97029113 0.00034835 0.01918444 0.01017609 0.00000000
0.98077769 0.00000188 0.00416607 0.01505436 0.00000000
0.98077769 0.00000188 0.00416607 0.01505436 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
0.98573261 0.00000672 0.00134439 0.01291628 0.00000000
