# p00 p10 p01 p11 rho0
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.96519973 0.00151793 0.00026546 0.03301688 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
